IGUNegozio,CodNegozio,IGUArticolo,Modello,CodEsterno,DSArticolo,DSArticoloWeb,Nota,Um,UmWeb,CodIva,Continuativo,DayOne,IGULinea,DSLinea,DSLineaWeb,IGUStagione,DSStagione,DSStagioneWeb,IGUTipoTaglia,DSTipoTaglia,DSTipoTagliaWeb,IGUMarca,DSMarca,DSMarcaWeb,IGUCampionario,DSCampionario,DSCampionarioWeb,IGUMateriale,DSMateriale,DSMaterialeWeb,IGUTipoEtichetta,DSTipoEtichetta,DSTipoEtichettaWeb,IGUReparto,DSReparto,DSRepartoWeb,IGUCategoriaMerceologica,DSCategoriaMerceologica,DSCategoriaMerceologicaWeb,IGUSesso,DSSesso,DSSessoWeb,CodArticolo,BarCode,CodColore,IGUColore,DSColore,DSColoreWeb,Indice,Taglia,IGUPrezzoVendita,TipoPrezzo,DataInizio,DataFine,IGUValuta,PrezzoIvato,Imponibile,Sconto,Aliquota,Costo,Annullato,FlagEstrazioneTotale,DTEstrazione,PuntiPremio,IGULingua,CodLingua,DSLingua,DSArticoloAgg,Classificazione1,Classificazione2,Classificazione3,Classificazione4,Classificazione5,Classificazione6,Classificazione7,Classificazione8,Classificazione9,Classificazione10,DSAttributoMultiplo1,DSAttributoMultiplo2,IDArticolo,IDLinea,IDStagione,IDTipoTaglia,IDMarca,IDCampionario,IDMateriale,IDTipoEtichetta,IDCategoriaMerceologica,IDSesso,IDArtCod,IDColore,IDTaglia,Peso,URLImg1,URLImg2,URLImg3,URLImg4,URLImg5,Disponibilita,PrezzoImponibileNetto,ArticoloDescrizionePers,RetailItalyNetto,FlagTipoArticolo,CodAlternativo,FlagScontabile,DSArticoloAggWeb,DescrClass1,DescrClass1Web,DescrClass2,DescrClass2Web,DescrClass3,DescrClass3Web,Classificazione,PrezzoScontatoIvato,ScontoListino,PrezzoScontatoNetto,RaggruppamentoLinea,IDReparto,CostoImponibileNetto,BarcodeCustom,SKUCustom,URLImg6,URLImg7,URLImg8,URLImg9,URLImg10,EAN,ModelloOwner,CustomField,CodDogana,NominativoFor,IndirizzoFor,EMailFor,URLFor,TelefonoFor,DisabilitaCustomStagione,DisabilitaCustomLinea,RiservatoB2C
319,TMS,1\4\3\195434\992484\0, X09798PR227 H8787,,b-biscotto-loop,,,PEZZI,,22,0,Mar 27 2025 12:00AM,3\1\1\1\228\0,DIESEL,,63\1\1\182985\60\0,25S,,6\1\1\1\11\0,CINTURE,,64\1\1\1\598\0,ITALY,IT,71\1\1\6868\7\0,Other,,135\1\1\1\7400\0,Exterior: 100% Leather Finishing: Silver metal,,148\1\1\1\15\0,PICCOLA PELLETTERIA,,150\1\1\1\7\0,ACCESSORI,ACCESSORIES,149\1\1\1\119\0,CINTURE,BELT,153\1\1\1\2\0,UOMO,MAN,2000016569155,2.00E+12,,5\4\3\195434\163003\0,H8787,Black,90,100,22\4\3\195434\7433367\0,1,Mar 20 2025 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,100,81.97,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,Black leather belt ,,,,,,,Black,,,,,,992484,228,60,11,598,7,7400,15,119,2,7706839,163003,199,1,http://93.46.41.5:8080/GEB/2000016569155_1.jpg,http://93.46.41.5:8080/GEB/2000016569155_2.jpg,http://93.46.41.5:8080/GEB/2000016569155_3.jpg,,,1,53,Height: 4 cm,65,#A0#,,1,,,,,,,,,0,0,0,DIESEL,7,53,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796458\0,0000U2664G MXB,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\1\1\1\20919\0,"95% Cotton, 5% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195654,8.72E+12,MXB,5\1\1\1\122126\0,MXB,MXB,40,S,22\4\4\324756\4783417\0,1,Mar 15 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,43,35.25,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796458,145,58,10,644,5,20919,17,161,2,7083780,122126,173,1,http://93.46.41.5:8080/GEB/2000013195661_1.jpg,http://93.46.41.5:8080/GEB/2000013195661_2.jpg,,,,7,23,,28,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,23,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796458\0,0000U2664G MXB,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\1\1\1\20919\0,"95% Cotton, 5% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195661,8.72E+12,MXB,5\1\1\1\122126\0,MXB,MXB,50,M,22\4\4\324756\4783417\0,1,Mar 15 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,43,35.25,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796458,145,58,10,644,5,20919,17,161,2,7083781,122126,174,1,http://93.46.41.5:8080/GEB/2000013195661_1.jpg,http://93.46.41.5:8080/GEB/2000013195661_2.jpg,,,,0,23,,28,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,23,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796458\0,0000U2664G MXB,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\1\1\1\20919\0,"95% Cotton, 5% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195678,8.72E+12,MXB,5\1\1\1\122126\0,MXB,MXB,60,L,22\4\4\324756\4783417\0,1,Mar 15 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,43,35.25,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796458,145,58,10,644,5,20919,17,161,2,7083782,122126,175,1,http://93.46.41.5:8080/GEB/2000013195661_1.jpg,http://93.46.41.5:8080/GEB/2000013195661_2.jpg,,,,1,23,,28,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,23,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796458\0,0000U2664G MXB,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\1\1\1\20919\0,"95% Cotton, 5% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195685,8.72E+12,MXB,5\1\1\1\122126\0,MXB,MXB,70,XL,22\4\4\324756\4783417\0,1,Mar 15 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,43,35.25,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796458,145,58,10,644,5,20919,17,161,2,7083783,122126,176,1,http://93.46.41.5:8080/GEB/2000013195661_1.jpg,http://93.46.41.5:8080/GEB/2000013195661_2.jpg,,,,0,23,,28,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,23,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796460\0,000NB3074A MHQ,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\4\4\324756\38080\0,"88% Recycled Polyester, 12% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195739,8.72E+12,MHQ,5\1\1\1\122125\0,MHQ,MHQ,40,S,22\4\4\324756\4783423\0,1,Feb 19 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,50,40.98,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796460,145,58,10,644,5,38080,17,161,2,7083788,122125,173,1,http://93.46.41.5:8080/GEB/2000013195746_1.jpg,http://93.46.41.5:8080/GEB/2000013195746_2.jpg,,,,13,27,,33,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,27,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796460\0,000NB3074A MHQ,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\4\4\324756\38080\0,"88% Recycled Polyester, 12% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195746,8.72E+12,MHQ,5\1\1\1\122125\0,MHQ,MHQ,50,M,22\4\4\324756\4783423\0,1,Feb 19 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,50,40.98,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796460,145,58,10,644,5,38080,17,161,2,7083789,122125,174,1,http://93.46.41.5:8080/GEB/2000013195746_1.jpg,http://93.46.41.5:8080/GEB/2000013195746_2.jpg,,,,2,27,,33,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,27,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796460\0,000NB3074A MHQ,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\4\4\324756\38080\0,"88% Recycled Polyester, 12% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195753,8.72E+12,MHQ,5\1\1\1\122125\0,MHQ,MHQ,60,L,22\4\4\324756\4783423\0,1,Feb 19 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,50,40.98,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796460,145,58,10,644,5,38080,17,161,2,7083790,122125,175,1,http://93.46.41.5:8080/GEB/2000013195746_1.jpg,http://93.46.41.5:8080/GEB/2000013195746_2.jpg,,,,0,27,,33,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,27,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\796460\0,000NB3074A MHQ,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\58\0,24S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\644\0,BANGLADESH,BD,71\1\1\1\5\0,Precollezione,,135\4\4\324756\38080\0,"88% Recycled Polyester, 12% Elastane",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000013195760,8.72E+12,MHQ,5\1\1\1\122125\0,MHQ,MHQ,70,XL,22\4\4\324756\4783423\0,1,Feb 19 2024 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,50,40.98,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,24S,,,,,,,796460,145,58,10,644,5,38080,17,161,2,7083791,122125,176,1,http://93.46.41.5:8080/GEB/2000013195746_1.jpg,http://93.46.41.5:8080/GEB/2000013195746_2.jpg,,,,0,27,,33,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,27,,,,,,,,8.72E+12,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\726732\0,000NB3532A FRQ,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\1\1\6868\56\0,23S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\612\0,INDIA,IN,71\1\1\1\5\0,Precollezione,,135\1\1\1\8199\0,"88% .PL, 12% EA",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000010943746,2.00E+12,FRQ,5\1\1\1\104722\0,FRQ,FRQ,40,S,22\4\4\324756\3753324\0,1,May  3 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,48,39.34,50,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,23S,,,,,,,726732,145,56,10,612,5,8199,17,161,2,6859022,104722,173,1,http://93.46.41.5:8080/GEB/2000010943753_1.jpg,http://93.46.41.5:8080/GEB/2000010943753_2.jpg,,,,0,20,,24,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,20,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\726732\0,000NB3532A FRQ,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\1\1\6868\56\0,23S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\612\0,INDIA,IN,71\1\1\1\5\0,Precollezione,,135\1\1\1\8199\0,"88% .PL, 12% EA",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000010943753,2.00E+12,FRQ,5\1\1\1\104722\0,FRQ,FRQ,50,M,22\4\4\324756\3753324\0,1,May  3 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,48,39.34,50,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,23S,,,,,,,726732,145,56,10,612,5,8199,17,161,2,6859023,104722,174,1,http://93.46.41.5:8080/GEB/2000010943753_1.jpg,http://93.46.41.5:8080/GEB/2000010943753_2.jpg,,,,0,20,,24,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,20,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\726732\0,000NB3532A FRQ,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\1\1\6868\56\0,23S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\612\0,INDIA,IN,71\1\1\1\5\0,Precollezione,,135\1\1\1\8199\0,"88% .PL, 12% EA",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000010943760,2.00E+12,FRQ,5\1\1\1\104722\0,FRQ,FRQ,60,L,22\4\4\324756\3753324\0,1,May  3 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,48,39.34,50,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,23S,,,,,,,726732,145,56,10,612,5,8199,17,161,2,6859024,104722,175,1,http://93.46.41.5:8080/GEB/2000010943753_1.jpg,http://93.46.41.5:8080/GEB/2000010943753_2.jpg,,,,0,20,,24,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,20,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\726732\0,000NB3532A FRQ,,INTIMO,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\1\1\6868\56\0,23S,,6\1\1\1\10\0,XXXS-XXXL,,64\1\1\1\612\0,INDIA,IN,71\1\1\1\5\0,Precollezione,,135\1\1\1\8199\0,"88% .PL, 12% EA",,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000010943777,2.00E+12,FRQ,5\1\1\1\104722\0,FRQ,FRQ,70,XL,22\4\4\324756\3753324\0,1,May  3 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,48,39.34,50,22,0,0,1,Jun 16 2025  4:22PM,0,,,,INTIMO,,,,,,23S,,,,,,,726732,145,56,10,612,5,8199,17,161,2,6859025,104722,176,1,http://93.46.41.5:8080/GEB/2000010943753_1.jpg,http://93.46.41.5:8080/GEB/2000010943753_2.jpg,,,,1,20,,24,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,20,,,,,,,,,,,,,,,,,#FFGEB#,,0
319,TMS,1\4\4\324756\748226\0,000NB3704A KDX,,BOXER,,,PEZZI,,22,0,Jan  1 1900 12:00AM,3\1\1\1\145\0,CALVIN KLEIN,,63\143\48\6869\57\0,23W,,6\1\1\1\10\0,XXXS-XXXL,,,,,71\1\1\1\5\0,Precollezione,,,,,148\1\1\1\17\0,INTIMO,,150\1\1\1\6\0,ABBIGLIAMENTO,CLOTHING,149\1\1\1\161\0,INTIMO,UNDERWEAR,153\1\1\1\2\0,UOMO,MAN,2000011643959,2.00E+12,KDX,5\1\1\1\110096\0,BLACKSPEAKEASYGREY,BLACKSPEAKEASYGREY,40,S,22\4\4\2291\4554891\0,1,Nov 29 2023 12:00AM,Dec 31 2099 12:00AM,15\1\1\1,45,36.89,35,22,0,0,1,Jun 16 2025  4:22PM,0,,,,BOXER,,,,,,23W,,,,,,,748226,145,57,10,-1,5,-1,17,161,2,6928831,110096,173,1,http://93.46.41.5:8080/GEB/2000011643966_1.jpg,http://93.46.41.5:8080/GEB/2000011643966_2.jpg,,,,3,24,,29,#A0#,,1,,,,,,,,,0,0,0,CALVIN KLEIN,6,24,,,,,,,,,,,,,,,,,#FFGEB#,,0
